5246983111579595707,1817-07-01
4436884039838843341,2031-05-23
-4224290881682877258,1813-05-17
-4961171400048338491,2196-08-10
-2575185053386712613,2105-01-21
5252407779338300447,2042-04-26
-614848861623872247,2101-05-25
-2098090254092150988,2163-05-26
2438535236662373438,1881-09-16
214451696109242839,2179-04-18
2438535236662373438,2026-06-23
-2184423060953067642,1853-07-06
3873405809071478736,2164-04-23
214451696109242839,1855-05-12
-6784441713807772877,1845-02-16
-2688622006344936758,1948-10-15
7297177530102477725,1921-05-11
-2575185053386712613,1809-07-12
3905351789241845882,2045-12-05
3845554233155411208,1805-11-10
-3655445881497026796,2108-08-16
3905351789241845882,1866-07-28
-1339636982994067311,2008-12-03
7297177530102477725,2125-08-26
7297177530102477725,1926-04-12
-5706981533666803767,1800-09-20
6049335087268933751,2282-06-09
3845554233155411208,2264-04-05
8755921538765428593,1827-05-01
-1339636982994067311,2000-06-20
-2098090254092150988,1817-03-12
3873405809071478736,2034-06-09
2438535236662373438,1916-01-10
5246983111579595707,2260-05-11
-5706981533666803767,2151-06-09
-614848861623872247,2112-11-09
-327698348664467755,2222-10-15
-2184423060953067642,1880-10-06
434940853096155515,2275-02-08
-4224290881682877258,2120-01-16
-5754527700632192146,1958-07-15
-4224290881682877258,2185-07-08
-2098090254092150988,2219-12-23
-7707546703881534780,2134-08-20
214451696109242839,1977-01-04
-2688622006344936758,2129-01-11
7937120928560087303,2083-03-14
-6784441713807772877,2054-06-17
3873405809071478736,1918-11-20
6049335087268933751,2086-12-17
5252407779338300447,2039-03-10
