-1339636982994067311,2000-06-20
-2575185053386712613,2105-01-21
\N,2098-02-10
-6784441713807772877,1845-02-16
\N,2024-01-23
-4224290881682877258,2185-07-08
-614848861623872247,2101-05-25
-2098090254092150988,2163-05-26
434940853096155515,2275-02-08
3873405809071478736,2034-06-09
-2184423060953067642,1880-10-06
7297177530102477725,1921-05-11
7937120928560087303,2083-03-14
\N,2242-02-08
-2688622006344936758,2129-01-11
214451696109242839,1977-01-04
-4961171400048338491,2196-08-10
4436884039838843341,2031-05-23
2438535236662373438,1916-01-10
6049335087268933751,2282-06-09
8755921538765428593,1827-05-01
5252407779338300447,2039-03-10
-2184423060953067642,1853-07-06
7297177530102477725,1926-04-12
-2098090254092150988,1817-03-12
-5754527700632192146,1958-07-15
-614848861623872247,2112-11-09
5246983111579595707,1817-07-01
-2098090254092150988,2219-12-23
-5706981533666803767,2151-06-09
7297177530102477725,2125-08-26
-7707546703881534780,2134-08-20
214451696109242839,2179-04-18
3845554233155411208,1805-11-10
3905351789241845882,2045-12-05
2438535236662373438,2026-06-23
-2688622006344936758,1948-10-15
6049335087268933751,2086-12-17
-2575185053386712613,1809-07-12
-327698348664467755,2222-10-15
-4224290881682877258,1813-05-17
3873405809071478736,2164-04-23
-5706981533666803767,1800-09-20
214451696109242839,1855-05-12
2438535236662373438,1881-09-16
5252407779338300447,2042-04-26
-3655445881497026796,2108-08-16
3905351789241845882,1866-07-28
-6784441713807772877,2054-06-17
5246983111579595707,2260-05-11
-1339636982994067311,2008-12-03
3873405809071478736,1918-11-20
-4224290881682877258,2120-01-16
3845554233155411208,2264-04-05
